accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
left_to_right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333677
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.372267
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.411739
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44058
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.470073
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.511899
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.543991
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.573545
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.614223
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.641629
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.683883
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.785226
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.810512
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.836771
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.861879
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.893577
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.927812
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.962939
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.996748
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.031788
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.065782
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.109102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.147698
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.173396
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.203871
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.239386
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.278695
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.310802
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.341925
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.377397
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.410689
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45307
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48549
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.513107
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.554923
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58235
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.626063
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.657289
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.684139
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.723141
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.755983
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.797809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.825804
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.861341
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.895891
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.931444
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.975307
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.004151
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.034446
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.068299
accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
right_to_left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06703105
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1340621
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1540621
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1914054
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2175639
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2476365
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2790401
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3174136
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3583329
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3848116
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4212306
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4586534
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4896118
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5290596
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5574331
