pitch,roll,yaw,time
123.75,0,-10.08737,15.95799
123.75,0,-10.09211,15.99562
123.75,0,-10.09685,16.03391
123.75,0,-10.1016,16.07341
123.75,0,-10.10634,16.11107
123.75,0,-10.11108,16.15376
123.75,0,-10.11582,16.19213
123.75,0,-10.12057,16.2297
123.75,0,-10.12531,16.26844
123.75,0,-10.13005,16.30689
123.75,0,-10.13479,16.34551
123.75,0,-10.13954,16.38784
123.75,0,-10.14428,16.43167
123.75,0,-10.14902,16.47441
123.75,0,-10.15376,16.51693
123.75,0,-10.15851,16.55984
123.75,0,-10.16325,16.60484
123.75,0,-10.16799,16.65353
123.75,0,-10.17274,16.69884
123.75,0,-10.17748,16.74169
123.75,0,-10.18222,16.78364
123.75,0,-10.18696,16.82319
123.75,0,-10.19171,16.86113
123.75,0,-10.19645,16.90027
123.75,0,-10.20119,16.939
123.75,0,-10.20593,16.9779
123.75,0,-10.21068,17.0172
123.75,0,-10.21542,17.05618
123.75,0,-10.22016,17.1012
123.75,0,-10.2249,17.14012
123.75,0,-10.22965,17.17941
123.75,0,-10.23439,17.21883
123.75,0,-10.23913,17.25742
123.75,0,-10.24387,17.29629
123.75,0,-10.24862,17.33572
123.75,0,-10.25336,17.37671
123.75,0,-10.2581,17.41539
123.75,0,-10.26285,17.45734
123.75,0,-10.26759,17.50101
123.75,0,-10.27233,17.54987
123.75,0,-10.27707,17.59535
123.75,0,-10.28182,17.63752
123.75,0,-10.28656,17.68435
123.75,0,-10.2913,17.72716
123.75,0,-10.29604,17.77327
123.75,0,-10.30079,17.84876
123.75,0,-10.30553,17.88942
123.75,0,-10.31027,17.92858
123.75,0,-10.31501,17.96808
123.75,0,-10.31976,18.008
123.75,0,-10.3245,18.05379
123.75,0,-10.32924,18.09542
123.75,0,-10.33398,18.13668
123.75,0,-10.33873,18.17634
123.75,0,-10.34347,18.21613
123.75,0,-10.34821,18.25691
123.75,0,-10.35295,18.29577
123.75,0,-10.3577,18.33752
123.75,0,-10.36244,18.37889
123.75,0,-10.36718,18.41842
123.75,0,-10.37193,18.46078
123.75,0,-10.37667,18.50635
123.75,0,-10.38141,18.55094
123.75,0,-10.38615,18.59588
123.75,0,-10.3909,18.64168
123.75,0,-10.39564,18.68786
123.75,0,-10.40038,18.73325
123.75,0,-10.40512,18.77863
123.75,0,-10.40987,18.82422
123.75,0,-10.41461,18.86841
123.75,0,-10.41935,18.91377
123.75,0,-10.42409,18.95626
123.75,0,-10.42884,19.00315
123.75,0,-10.43358,19.04562
123.75,0,-10.43832,19.08695
123.75,0,-10.44306,19.12776
123.75,0,-10.44781,19.1687
123.75,0,-10.45255,19.21095
123.75,0,-10.45729,19.25528
123.75,0,-10.46204,19.29905
123.75,0,-10.46678,19.33936
123.75,0,-10.47152,19.38161
123.75,0,-10.47626,19.42495
123.75,0,-10.48101,19.47194
123.75,0,-10.48575,19.5153
123.75,0,-10.49049,19.55654
123.75,0,-10.49523,19.59773
123.75,0,-10.49998,19.64261
123.75,0,-10.50472,19.68994
123.75,0,-10.50946,19.73865
123.75,0,-10.5142,19.78743
123.75,0,-10.51895,19.86026
123.75,0,-10.52369,19.90644
123.75,0,-10.52843,19.9526
123.75,0,-10.53317,19.99771
123.75,0,-10.53792,20.04563
123.75,0,-10.54266,20.08722
123.75,0,-10.5474,20.13011
123.75,0,-10.55215,20.17319
123.75,0,-10.55689,20.21541
123.75,0,-10.56163,20.25756
123.75,0,-10.56637,20.30024
123.75,0,-10.57112,20.34173
123.75,0,-10.57586,20.38436
123.75,0,-10.5806,20.42618
123.75,0,-10.58534,20.469
123.75,0,-10.59009,20.51722
123.75,0,-10.59483,20.56034
123.75,0,-10.59957,20.60385
123.75,0,-10.60431,20.64771
123.75,0,-10.60906,20.68982
123.75,0,-10.6138,20.7365
123.75,0,-10.61854,20.78739
123.75,0,-10.62328,20.8405
